Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
200611,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Other,Other,Other,1
200611,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,1
200801,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Other,Other,Other,1
200802,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,1
200807,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Other,Other,Other,1
201112,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Thru / Transit,Other,International,G,1
201411,United Airlines,UA,United Airlines,UA,International,Canada,Thru / Transit,Other,International,G,1
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,International,G,1
201507,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,1
201606,United Airlines,UA,United Airlines,UA,International,Canada,Thru / Transit,Other,International,G,1
201607,United Airlines,UA,United Airlines,UA,International,Canada,Thru / Transit,Other,International,G,1
201610,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,International,G,1
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,1
201701,United Airlines,UA,United Airlines,UA,International,Mexico,Thru / Transit,Other,International,G,1
201710,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,1
201811,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,1
200610,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Thru / Transit,Other,Terminal 3,F,2
200611,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,International,Asia,Deplaned,Other,Other,Other,2
200611,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,International,Asia,Enplaned,Other,Other,Other,2
200710,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,2
200712,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Other,Other,Other,2
200712,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,2
200801,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,2
200903,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Thru / Transit,Other,Terminal 3,F,2
201202,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,A,2
201503,United Airlines,UA,United Airlines,UA,International,Mexico,Thru / Transit,Other,International,G,2
201601,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,2
201604,United Airlines,UA,United Airlines,UA,International,Mexico,Thru / Transit,Other,International,G,2
201812,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,2
201909,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,2
201309,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Thru / Transit,Other,Other,Other,3
201901,United Airlines,UA,United Airlines,UA,International,Canada,Thru / Transit,Other,International,G,3
200612,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Other,Other,Other,4
200612,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,4
200711,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,4
200804,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,4
200805,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,4
200902,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,4
200905,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,4
201610,United Airlines,UA,United Airlines,UA,International,Asia,Thru / Transit,Other,International,G,4
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,4
201709,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,4
201806,United Airlines,UA,United Airlines,UA,International,Canada,Thru / Transit,Other,International,G,4
201905,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,4
201906,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,4
200605,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Thru / Transit,Other,Terminal 3,F,5
200606,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Other,Other,Other,5
200606,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,5
200702,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,5
200705,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,5
200706,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Thru / Transit,Other,Terminal 3,F,5
200805,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,5
201011,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Thru / Transit,Other,International,G,5
201708,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,5
200808,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,6
200909,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,G,6
201506,United Airlines,UA,United Airlines,UA,International,Mexico,Thru / Transit,Other,International,G,6
201612,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,6
201702,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,6
200608,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,7
200707,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,Other,Other,7
200801,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,7
